lon,lat,accum,n_obs
-71.61295168035659,-30.65449895804892,-141.09165844265945,34.0
-71.61295895867106,-30.654769386754545,-158.1469593078439,34.0
-71.61296623708402,-30.65503981544733,-115.12656880357906,34.0
-71.61297351559547,-30.65531024412732,-158.89764816002915,34.0
-71.6129807942054,-30.655580672794468,-139.74697521600768,34.0
-71.61298807291381,-30.655851101448786,-150.39695838272664,34.0
-71.6129953517207,-30.65612153009028,-172.62652798882257,34.0
-71.61300263062607,-30.65639195871896,-116.97759034978331,34.0
-71.61320612368995,-30.6406944976068,-207.58754816968033,34.0
-71.61321339871999,-30.64096492683168,-162.83946504554143,34.0
-71.61322067384847,-30.641235356043733,-145.5342967121069,34.0
-71.61322794907541,-30.64150578524297,-138.6402322437873,34.0
-71.6132352244008,-30.64177621442938,-138.50978554785857,34.0
-71.61324249982464,-30.64204664360297,-132.28898928878417,34.0
-71.61324977534692,-30.64231707276373,-116.5052782493606,34.0
-71.61325705096765,-30.64258750191169,-146.5697362886466,34.0
-71.61326432668683,-30.64285793104681,-127.23014289078674,34.0
-71.61327160250448,-30.643128360169108,-119.6439930528585,34.0
-71.61327887842057,-30.6433987892786,-137.9837002291002,34.0
-71.61328615443513,-30.64366921837525,-148.95212397294173,33.0
-71.61332253598476,-30.64502136366621,-159.73617133921041,34.0
-71.61332981259008,-30.64529179268593,-167.0914334598331,34.0
-71.61336619709361,-30.646643937592213,-128.35084439656822,34.0
-71.61337347428973,-30.646914366535,-166.13027909651746,34.0
-71.6133807515843,-30.647184795464963,-159.5142650754499,34.0
-71.61338802897735,-30.64745522438211,-116.00195792375908,34.0
-71.61339530646887,-30.64772565328642,-144.5436730554039,34.0
-71.61340258405889,-30.647996082177915,-163.35644906600888,34.0
-71.61340986174736,-30.648266511056597,-168.3504851134673,34.0
-71.6134171395343,-30.64853693992244,-151.09339115676266,34.0
-71.61342441741974,-30.64880736877545,-122.51340077506346,34.0
-71.61343169540365,-30.649077797615657,-182.45872348302854,34.0
-71.61343897348603,-30.64934822644303,-216.46228406354035,34.0
-71.6134462516669,-30.649618655257587,-143.74532952710308,34.0
-71.61345352994624,-30.649889084059307,-185.20748682908953,34.0
-71.61346080832408,-30.65015951284821,-144.9357945246493,34.0
-71.6134680868004,-30.65042994162429,-161.8734399623942,34.0
-71.61320624818835,-30.652329235695767,-169.9326505098424,34.0
-71.61321352658379,-30.652599664436625,-181.75565523388397,34.0
-71.61322080507773,-30.65287009316465,-147.32700141189525,34.0
-71.61322808367017,-30.65314052187986,-100.19067150534353,34.0
-71.61323536236107,-30.65341095058224,-116.15936578027582,34.0
-71.61324264115046,-30.6536813792718,-86.10184153972568,34.0
-71.61324992003834,-30.653951807948527,-73.39009538927337,34.0
-71.61325719902472,-30.65422223661244,-143.20066317574032,34.0
-71.61326447810957,-30.654492665263515,-155.8753228019125,34.0
-71.61327175729292,-30.65476309390177,-176.02305393275608,34.0
-71.61327903657478,-30.655033522527194,-137.44727705794296,34.0
-71.61328631595511,-30.65530395113981,-180.91032199406405,34.0
-71.61329359543393,-30.65557437973959,-129.3439066544483,34.0
-71.61330087501126,-30.655844808326545,-115.71937238398831,34.0
-71.61330815468709,-30.65611523690067,-181.1038219591396,34.0
-71.6133154344614,-30.65638566546197,-159.02715000729944,34.0
-71.61332271433423,-30.65665609401045,-164.05933513408547,34.0
-71.61332999430554,-30.656926522546097,-167.54705227573098,34.0
-71.61333727437535,-30.65719695106893,-193.5211632942067,34.0
-71.61348249893433,-30.639336060774387,-154.76143827469713,34.0
-71.61348977434038,-30.639606489996016,-151.53010814022713,34.0
-71.61349704984487,-30.63987691920481,-188.48002432485916,34.0
-71.61350432544782,-30.64014734840078,-183.8844142842418,34.0
-71.61351160114924,-30.64041777758394,-165.78234604361927,34.0
-71.61351887694909,-30.640688206754277,-206.23719543878158,34.0
-71.6135261528474,-30.640958635911787,-171.17060740861822,34.0
-71.61353342884419,-30.641229065056475,-157.5391734493915,34.0
-71.61354070493941,-30.64149949418835,-110.86577299411601,34.0
-71.61354798113311,-30.64176992330739,-141.37931151054082,34.0
-71.61355525742526,-30.642040352413616,-103.93651246150878,34.0
-71.61356253381588,-30.64231078150701,-143.64780754612704,34.0
-71.61356981030495,-30.642581210587604,-108.7493623839619,34.0
-71.61357708689249,-30.64285163965535,-156.5594780354451,34.0
-71.6135843635785,-30.643122068710287,-169.3005990367066,34.0
-71.61359164036298,-30.643392497752405,-164.84573924831534,33.0
-71.61363530313768,-30.64501507173581,-153.85525031791965,34.0
-71.61364258061145,-30.645285500688164,-164.14865735375707,34.0
-71.61367896945745,-30.64663764525758,-136.22206808286103,34.0
-71.6136862475221,-30.646908074132995,-175.8482660558348,34.0
-71.61369352568522,-30.647178502995583,-147.70383799687363,34.0
-71.61370080394683,-30.64744893184536,-167.27065312235203,34.0
-71.61370808230691,-30.647719360682306,-169.90476762550605,34.0
-71.6137153607655,-30.64798978950642,-191.63335514074032,34.0
-71.61372263932256,-30.64826021831772,-138.04010909695657,34.0
-71.61372991797812,-30.648530647116186,-108.58218902018392,34.0
-71.61373719673216,-30.648801075901837,-145.2513951380688,34.0
-71.6134753653752,-30.650700370387558,-219.4556381237312,34.0
-71.61348264404849,-30.650970799137976,-123.65234650034346,34.0
-71.61348992282028,-30.65124122787559,-123.05142979602216,34.0
-71.61349720169054,-30.651511656600366,-174.28602779879904,34.0
-71.61350448065929,-30.65178208531232,-141.85896189592688,34.0
-71.61351175972653,-30.65205251401145,-108.9432571329064,34.0
-71.61351903889229,-30.65232294269776,-166.8486627981653,34.0
-71.61352631815652,-30.65259337137125,-176.09778723038872,34.0
-71.61353359751924,-30.652863800031906,-141.37664092239777,34.0
-71.61354087698048,-30.653134228679733,-215.32033654892442,34.0
-71.61354815654019,-30.65340465731474,-131.30239892527695,34.0
-71.61355543619841,-30.653675085936925,-105.93098083184474,34.0
-71.61356271595514,-30.65394551454628,-130.77944495095682,34.0
-71.61356999581035,-30.654215943142813,-180.24513864762017,34.0
-71.61357727576407,-30.65448637172652,-168.4630193738028,34.0
-71.61358455581629,-30.6547568002974,-197.25661492658185,34.0
-71.61359183596701,-30.65502722885545,-113.96158621533087,34.0
-71.61359911621625,-30.65529765740069,-111.90131879344939,34.0
-71.61360639656398,-30.655568085933087,-177.87909025153994,34.0
-71.61361367701024,-30.655838514452665,-124.53605919670099,34.0
-71.61362095755499,-30.65610894295942,-154.38073374491557,34.0
-71.61362823819825,-30.656379371453344,-116.77723294136959,34.0
-71.61363551894003,-30.65664979993445,-157.29111088007664,34.0
-71.61364279978031,-30.65692022840271,-150.29589484684206,34.0
-71.6136500807191,-30.65719065685816,-135.4368908438845,34.0
-71.61365736175641,-30.657461085300785,-39.699695962803716,34.0
-71.61366464289225,-30.65773151373058,-133.1895225014743,34.0
-71.61367192412658,-30.65800194214755,-163.77757104119354,34.0
